Order_ID,Merchant,Original_Time,Quantity,Item,Details,Price,Subtotal,Discount,Delivery_Fee,Bag_Fee,Platform_Fee,Tip,Total_Incl_Tax,Date,Weekday,Time_24hr
b2zy-zhcu,老店麵食館,6月27日 週二 下午1:37,1,四神湯,,40,0,0,0,0,0,0,0,2021/06/27,Tuesday,13:37
b2zy-zhcu,老店麵食館,6月27日 週二 下午1:37,1,滷肉飯,,40,0,0,0,0,0,0,0,2021/06/27,Tuesday,13:37
ee5f-t73y,CoCo都可 (竹東東峰店),6月26日 週一 下午4:16,1,四季珍椰青,"5分糖, 少(微)冰, 加椰果",65,0,0,0,0,0,0,0,2021/06/26,Monday,16:16
ee5f-t73y,CoCo都可 (竹東東峰店),6月26日 週一 下午4:16,1,HPP楊枝甘露(優酪乳),"7分糖, 少(微)冰",100,0,0,0,0,0,0,0,2021/06/26,Monday,16:16
mroh-5457,蚵仔麵線、臭豆腐,6月25日 週日 下午11:34,1,蚵仔麵線【大】、臭豆腐,,140,0,0,0,0,0,0,0,2021/06/25,Sunday,23:34
v0po-j94e,東辣屋,4月11日 週二 上午2:01,1,麻辣鴨血豆腐煲,,150,0,0,0,0,0,0,0,2021/04/11,Tuesday,02:01
v0po-j94e,東辣屋,4月11日 週二 上午2:01,1,魯肉飯加蛋,,79,0,0,0,0,0,0,0,2021/04/11,Tuesday,02:01
ee5f-vte9,CoCo都可 (竹東東峰店),4月10日 週一 下午9:27,1,珍珠鮮奶茶,"3分糖, 熱",80,0,0,0,0,0,0,0,2021/04/10,Monday,21:27
ypjl-t3xq,茶湯會 (竹東長春店),4月4日 週二 下午5:05,1,小茉莉,"微糖, 微冰, 加波霸",50,0,0,0,0,0,0,0,2021/04/04,Tuesday,17:05
ypjl-t3xq,茶湯會 (竹東長春店),4月4日 週二 下午5:05,1,珍珠冬瓜觀音,"固定糖, 去冰, 我要珍珠",65,0,0,0,0,0,0,0,2021/04/04,Tuesday,17:05
ypjl-t3xq,茶湯會 (竹東長春店),4月4日 週二 下午5:05,1,鐵觀音奶茶,"微糖, 去冰, 加珍珠",70,0,0,0,0,0,0,0,2021/04/04,Tuesday,17:05
y5qb-z4cu,呈信傳統鵝肉店 (永和永貞店),4月3日 週一 下午12:55,1,鵝肉後腿,去骨,430,0,0,0,0,0,0,0,2021/04/03,Monday,12:55
